Index,A,B,R
572,116,116,0
573,203,203,0
574,226,226,0
575,121,121,0
576,223,223,0
577,125,125,0
578,247,247,0
579,90,90,0
580,173,173,0
581,204,204,0
582,78,78,0
583,33,33,0
584,34,34,0
585,65,65,0
586,255,255,0
587,97,97,0
588,198,198,0
589,124,124,0
590,137,137,0
591,223,223,0
592,168,168,0
593,87,87,0
594,129,129,0
595,56,56,0
596,196,196,0
597,96,96,0
598,221,221,0
599,185,185,0
600,127,127,0
601,23,23,0
602,160,160,0
603,166,166,0
604,140,140,0
605,0,0,0
606,138,138,0
607,82,82,0
608,78,78,0
609,38,38,0
610,174,174,0
611,60,60,0
612,46,46,0
613,223,223,0
614,184,184,0
615,1,1,0
616,0,0,0
617,49,49,0
618,59,59,0
619,58,58,0
620,203,203,0
621,146,146,0
622,1,1,0
623,38,38,0
624,149,149,0
625,38,38,0
626,216,216,0
627,219,219,0
628,143,143,0
629,55,55,0
630,47,47,0
631,196,196,0
632,63,63,0
633,83,83,0
634,9,9,0
635,195,195,0
636,201,201,0
637,192,192,0
638,182,182,0
639,179,179,0
640,143,143,0
641,199,199,0
642,239,239,0
643,75,75,0
644,26,26,0
645,112,112,0
646,208,208,0
647,55,55,0
648,123,123,0
649,245,245,0
650,22,22,0
651,166,166,0
652,62,62,0
653,231,231,0
654,246,246,0
655,9,9,0
656,92,92,0
657,73,73,0
658,248,248,0
659,179,179,0
660,203,203,0
661,253,253,0
662,155,155,0
663,194,194,0
664,98,98,0
665,81,81,0
666,13,13,0
667,110,110,0
668,18,18,0
669,129,129,0
670,22,22,0
671,172,172,0
672,160,160,0
673,177,177,0
674,67,67,0
675,20,20,0
676,130,130,0
677,24,24,0
678,166,166,0
679,211,211,0
680,12,12,0
681,120,120,0
682,76,76,0
683,90,90,0
684,225,225,0
685,2,2,0
686,216,216,0
687,212,212,0
688,233,233,0
689,171,171,0
690,165,165,0
691,188,188,0
692,201,201,0
693,94,94,0
694,248,248,0
695,180,180,0
696,91,91,0
697,89,89,0
698,81,81,0
699,176,176,0
700,161,161,0
701,62,62,0
702,231,231,0
703,3,3,0
704,112,112,0
705,196,196,0
706,78,78,0
707,56,56,0
708,126,126,0
709,221,221,0
710,242,242,0
711,176,176,0
712,21,21,0
713,85,85,0
714,0,0,0
715,58,58,0
716,57,57,0
717,226,226,0
718,49,49,0
719,232,232,0
720,19,19,0
721,88,88,0
722,232,232,0
723,228,228,0
724,154,154,0
725,116,116,0
726,236,236,0
727,149,149,0
728,152,152,0
729,41,41,0
730,198,198,0
731,99,99,0
732,116,116,0
733,72,72,0
734,194,194,0
735,50,50,0
736,64,64,0
737,9,9,0
738,7,7,0
739,189,189,0
740,13,13,0
741,12,12,0
742,0,0,0
743,211,211,0
744,101,101,0
745,76,76,0
746,97,97,0
747,96,96,0
748,45,45,0
749,68,68,0
750,219,219,0
751,255,255,0
752,21,21,0
753,214,214,0
754,36,36,0
755,55,55,0
756,114,114,0
757,196,196,0
758,206,206,0
759,187,187,0
760,252,252,0
761,55,55,0
762,11,11,0
763,30,30,0
764,250,250,0
765,67,67,0
766,72,72,0
767,190,190,0
